KTOS_сheat-sheet-07_25_2025.csv
"Support/Resistance Levels",Price,"Key Turning Points"
"14 Day RSI at 80%",67.94,
"Pivot Point 3rd Level Resistance",63.59,
"Pivot Point 2nd Level Resistance",62.34,
,61.89,"3-10 Day Moving Average Crossover Stalls"
"Price 3 Standard Deviations Resistance",61.64,
"52-Week High",61.43,
"13-Week High",61.43,
"1-Month High",61.43,
"Price 2 Standard Deviations Resistance",61.09,
"Pivot Point 1st Resistance Point",60.50,
High,60.40,High
"Price 1 Standard Deviation Resistance",60.38,
Last,60.17,Last
,59.25,"Pivot Point"
"Previous Close",58.66,"Previous Close"
"Target Price",58.55,
"14 Day RSI at 70%",58.29,
,58.05,"14 Day %k Stochastic Stalls"
Low,57.81,Low
,57.71,"14-3 Day Raw Stochastic at 80%"
"Pivot Point 1st Support Point",57.41,
"Price 1 Standard Deviation Support",56.94,
,56.88,"Price Crosses 9 Day Moving Average"
"Price 2 Standard Deviations Support",56.23,
"Pivot Point 2nd Support Point",56.16,
,55.84,"14-3 Day Raw Stochastic at 70%"
,55.80,"3-10-16 Day MACD Moving Average Stalls"
"Price 3 Standard Deviations Support",55.68,
"Pivot Point 3rd Support Point",54.32,
,52.86,"38.2% Retracement From 4 Week High"
,52.12,"14-3 Day Raw Stochastic at 50%"
,51.99,"Price Crosses 9 Day Moving Average Stalls"
,51.25,"Price Crosses 18 Day Moving Average"
,50.45,"38.2% Retracement From 13 Week High"
,50.22,"50% Retracement From 4 Week High/Low"
,49.68,"14 Day RSI at 50%"
,48.39,"14-3 Day Raw Stochastic at 30%"
,47.57,"38.2% Retracement From 4 Week Low"
,47.06,"50% Retracement From 13 Week High/Low"
,46.53,"14-3 Day Raw Stochastic at 20%"
,46.45,"Price Crosses 18 Day Moving Average Stalls"
,45.54,"Price Crosses 40 Day Moving Average"
,44.81,"61.8% Retracement from the 52 Week Low"
,43.66,"38.2% Retracement From 13 Week Low"
,39.67,"50% Retracement From 52 Week High/Low"
"1-Month Low",39.00,
,37.33,"Price Crosses 40 Day Moving Average Stalls"
,34.53,"38.2% Retracement From 52 Week Low"
"13-Week Low",32.68,
"14 Day RSI at 30%",29.58,
"52-Week Low",17.91,
"14 Day RSI at 20%",4.46,
,N/A,"14 Day %d Stochastic Stalls"
,N/A,"Price Crosses 9-18 Day Moving Average"
,N/A,"Price Crosses 9-40 Day Moving Average"
,N/A,"Price Crosses 18-40 Day Moving Average"
"Downloaded from Barchart.com as of 07-25-2025 02:26pm CDT"
