OKLO_сheat-sheet-07_25_2025
"Support/Resistance Levels",Price,"Key Turning Points"
"14 Day RSI at 80%",99.38,
"Pivot Point 3rd Level Resistance",90.60,
"Pivot Point 2nd Level Resistance",83.88,
"Price 3 Standard Deviations Resistance",83.83,
"Price 2 Standard Deviations Resistance",82.14,
,80.44,"3-10 Day Moving Average Crossover Stalls"
"Price 1 Standard Deviation Resistance",79.93,
"Pivot Point 1st Resistance Point",79.24,
"14 Day RSI at 70%",77.27,
"52-Week High",77.17,
"13-Week High",77.17,
"1-Month High",77.17,
High,77.17,High
"Target Price",77.00,
Last,74.59,Last
,72.52,"Pivot Point"
,72.04,"14-3 Day Raw Stochastic at 80%"
,69.48,"14-3 Day Raw Stochastic at 70%"
"Price 1 Standard Deviation Support",69.25,
"Pivot Point 1st Support Point",67.88,
,67.08,"14 Day %k Stochastic Stalls"
"Price 2 Standard Deviations Support",67.04,
"Previous Close",66.97,"Previous Close"
,66.82,"38.2% Retracement From 4 Week High"
,65.86,"Price Crosses 9 Day Moving Average"
Low,65.81,Low
"Price 3 Standard Deviations Support",65.35,
,64.35,"14-3 Day Raw Stochastic at 50%"
,63.63,"50% Retracement From 4 Week High/Low"
,62.41,"Price Crosses 9 Day Moving Average Stalls"
"Pivot Point 2nd Support Point",61.16,
,60.43,"38.2% Retracement From 4 Week Low"
,60.06,"Price Crosses 18 Day Moving Average"
,59.58,"14 Day RSI at 50%"
,59.22,"14-3 Day Raw Stochastic at 30%"
,58.08,"Price Crosses 40 Day Moving Average"
,56.65,"14-3 Day Raw Stochastic at 20%"
"Pivot Point 3rd Support Point",56.52,
,56.29,"38.2% Retracement From 13 Week High"
,55.99,"Price Crosses 18 Day Moving Average Stalls"
,55.24,"Price Crosses 40 Day Moving Average Stalls"
,50.50,"3-10-16 Day MACD Moving Average Stalls"
"1-Month Low",50.08,
,49.85,"50% Retracement From 13 Week High/Low"
,49.73,"61.8% Retracement from the 52 Week Low"
,43.40,"38.2% Retracement From 13 Week Low"
,41.26,"50% Retracement From 52 Week High/Low"
,32.79,"38.2% Retracement From 52 Week Low"
"13-Week Low",22.52,
"14 Day RSI at 30%",21.88,
"52-Week Low",5.35,
,N/A,"14 Day %d Stochastic Stalls"
,N/A,"Price Crosses 9-18 Day Moving Average"
,N/A,"Price Crosses 9-40 Day Moving Average"
,N/A,"Price Crosses 18-40 Day Moving Average"
"14 Day RSI at 20%",N/A,
"Downloaded from Barchart.com as of 07-25-2025 02:27am CDT"
