RUN_сheat-sheet-07_25_2025.csv
"Support/Resistance Levels",Price,"Key Turning Points"
"52-Week High",22.26,
"14 Day RSI at 80%",18.43,
,15.81,"61.8% Retracement from the 52 Week Low"
,13.82,"50% Retracement From 52 Week High/Low"
"14 Day RSI at 70%",13.57,
"13-Week High",13.23,
"Pivot Point 3rd Level Resistance",13.09,
"Pivot Point 2nd Level Resistance",12.49,
"1-Month High",11.88,
,11.83,"38.2% Retracement From 52 Week Low"
"Pivot Point 1st Resistance Point",11.53,
,11.53,"14 Day %k Stochastic Stalls"
,11.43,"14-3 Day Raw Stochastic at 80%"
,11.20,"14-3 Day Raw Stochastic at 70%"
"Price 3 Standard Deviations Resistance",11.08,
"Price 2 Standard Deviations Resistance",10.99,
,10.93,"Pivot Point"
"Price 1 Standard Deviation Resistance",10.87,
"Target Price",10.74,
,10.74,"14-3 Day Raw Stochastic at 50%"
High,10.65,High
"Previous Close",10.58,"Previous Close"
,10.53,"3-10 Day Moving Average Crossover Stalls"
,10.51,"Price Crosses 9 Day Moving Average"
Last,10.48,Last
,10.36,"Price Crosses 9 Day Moving Average Stalls"
Low,10.34,Low
,10.32,"Price Crosses 18 Day Moving Average"
,10.29,"14-3 Day Raw Stochastic at 30%"
,10.29,"3-10-16 Day MACD Moving Average Stalls"
"Price 1 Standard Deviation Support",10.29,
,10.23,"38.2% Retracement From 13 Week High"
"Price 2 Standard Deviations Support",10.17,
,10.10,"38.2% Retracement From 4 Week High"
"Price 3 Standard Deviations Support",10.08,
,10.06,"14-3 Day Raw Stochastic at 20%"
"Pivot Point 1st Support Point",9.97,
,9.68,"14 Day RSI at 50%"
,9.56,"50% Retracement From 4 Week High/Low"
"Pivot Point 2nd Support Point",9.37,
,9.31,"50% Retracement From 13 Week High/Low"
,9.01,"38.2% Retracement From 4 Week Low"
,8.88,"Price Crosses 40 Day Moving Average"
"Pivot Point 3rd Support Point",8.41,
,8.38,"38.2% Retracement From 13 Week Low"
,8.18,"Price Crosses 18 Day Moving Average Stalls"
,7.24,"Price Crosses 9-18 Day Moving Average"
"1-Month Low",7.23,
,6.75,"Price Crosses 40 Day Moving Average Stalls"
"13-Week Low",5.38,
"52-Week Low",5.38,
"14 Day RSI at 30%",4.60,
,N/A,"14 Day %d Stochastic Stalls"
,N/A,"Price Crosses 9-40 Day Moving Average"
,N/A,"Price Crosses 18-40 Day Moving Average"
"14 Day RSI at 20%",N/A,
"Downloaded from Barchart.com as of 07-25-2025 11:11am CDT"
